SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,PRICE_PR_SQFT,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,url,PARK_DESCRIPTION,HAS_GARAGE,BATH_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES,FLOORING_FEATURES,COOLING_FEATURES,HEATING_FEATURES,UTILITIES,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,BUYER_AGENCY_COMPENSATION,NUM_STORIES,REDFIN_ESTIMATE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE
MLS Listing,,Single Family Residential,10191 Santa Clara Ave,Cupertino,CA,95014,3680000,4.0,4.0,CUPERTINO,2783.0,7125.0,2020.0,7,1322.0,,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Cupertino/10191-Santa-Clara-Ave-95014/home/168878671,MLSListings,ML81942998,N,Y,37.3254822,-122.0531967,9,9,10,1322.0,26406.0,72,Very bikeable,65,Somewhat walkable,40,Some transit,Minimal,Major,Moderate,Minimal,"Places5 groceries, 23 restaurants, 7 parksTransit23, 25, 51, 51H, 53, 55, Rapid 523, School 255","Sep 23, 2023",Listed (Active)MLSListings #ML81942998,3680000.0,,,,,,,,,,https://www.redfin.com/CA/Cupertino/10191-Santa-Clara-Ave-95014/home/168878671,"Attached Garage, Gate/Door Opener",2.0,"Full on Ground Floor, Primary (Stall Shower(s)), 2+ Stall Shower","Breakfast Bar, No Formal Dining Room","Upper Floor, Washer/Dryer","Carpet, Hardwood, Tile",Central Forced Air,Central Forced Air (Gas),Public Utilities,,,,2.5,2.0,3830141.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,10621 Madera Dr,Cupertino,CA,95014,3788000,3.0,2.0,CUPERTINO,1632.0,33541.0,1958.0,9,2321.0,,Active,,,https://www.redfin.com/CA/Cupertino/10621-Madera-Dr-95014/home/772950,MLSListings,ML81942769,N,Y,37.3320303,-122.0612172,9,9,10,2321.0,26784.0,34,Somewhat bikeable,27,Car-dependent,25,Some transit,Minimal,Moderate,Moderate,Minimal,"Places6 groceries, 16 restaurants, 13 parksTransit23, 25, 51, 51H, 53, 55, Rapid 523, School 255","Sep 21, 2023",Listed (Active)MLSListings #ML81942771,3788000.0,"Sep 21, 2023",Listed (Active)MLSListings #ML81942769,3788000.0,,,,,,,https://www.redfin.com/CA/Cupertino/10621-Madera-Dr-95014/home/772950,Attached Garage,2.0,,Dining Area,,,,Other (See Remarks),Public Utilities,,,,2.5,1.0,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,22400 Janice Ave,Cupertino,CA,95014,2888000,3.0,3.0,CUPERTINO,1932.0,8925.0,1971.0,10,1495.0,,Active,September-30-2023 02:00 PM,September-30-2023 05:00 PM,https://www.redfin.com/CA/Cupertino/22400-Janice-Ave-95014/home/781694,MLSListings,ML81942624,N,Y,37.3213654,-122.0670148,9,9,10,1495.0,20723.0,79,Very bikeable,46,Car-dependent,24,Minimal transit,Minimal,Major,Moderate,Minimal,"Places6 groceries, 17 restaurants, 15 parksTransit23, 25, 51, 51H, 53, 55, Rapid 523","Sep 20, 2023",Listed (Active)MLSListings #ML81942624,2888000.0,,,,,,,,,,https://www.redfin.com/CA/Cupertino/22400-Janice-Ave-95014/home/781694,Attached Garage,2.0,,Dining Area in Family Room,,,,Central Forced Air,Public Utilities,,,,2.5,1.0,3186310.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,19952 Portal Plz,Cupertino,CA,95014,1198888,2.0,2.5,CUPERTINO,1326.0,777.0,1982.0,12,904.0,690.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Cupertino/19952-Portal-Plz-95014/home/1714703,MLSListings,ML81942333,N,Y,37.3217327,-122.0202725,9,9,9,904.0,9167.0,77,Very bikeable,85,Very walkable,45,Some transit,Moderate,Minimal,Moderate,Minimal,"Places3 groceries, 34 restaurants, 3 parksTransit23, 25, 51, 51H, 53, 55, 56, Express 101, Rapid 523","Sep 19, 2023",Price ChangedMLSListings #ML81942333,1198888.0,"Sep 18, 2023",Listed (Active)MLSListings #ML81942333,1200000.0,"Jul 16, 2014",Pending (Pending (Do Not Show))MLSListings #ML81424289,NA,"Jul 8, 2014",Listed (Active)MLSListings #ML81424289,849999.0,https://www.redfin.com/CA/Cupertino/19952-Portal-Plz-95014/home/1714703,"Assigned Spaces, Covered Parking, Enclosed",1.0,,Eat in Kitchen,,,Ceiling Fan,Electric,Individual Electric Meters,"Common Area Electricity, Exterior Painting, Garbage, Hot Water, Insurance (Common Area), Insurance (Earthquake), Insurance (Homeowners), Landscaping/Gardening, Maintenance (Exterior), Management Fee, Pools, Spa, or Tennis, Roof, Sewer, Water",,Portal Plaza,2.5,2.0,1300090.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,22330 Homestead Rd #116,Cupertino,CA,95014,1199000,2.0,2.0,CUPERTINO,1249.0,,1984.0,15,960.0,640.0,Active,,,https://www.redfin.com/CA/Cupertino/22330-Homestead-Rd-95014/unit-116/home/916977,MLSListings,ML81942126,N,Y,37.3369392,-122.0658113,9,8,8,960.0,9244.0,58,Bikeable,66,Somewhat walkable,25,Some transit,Minimal,Major,Moderate,Minimal,"Places5 groceries, 14 restaurants, 13 parksTransit23, 25, 51, 51H, 53, 55, Rapid 523, School 255","Sep 15, 2023",Listed (Active)MLSListings #ML81942126,1199000.0,,,,,,,,,,https://www.redfin.com/CA/Cupertino/22330-Homestead-Rd-95014/unit-116/home/916977,"Common Parking Area, Covered Parking, Underground Parking",2.0,,Dining Area,"Inside, Washer/Dryer",,,Electric,Public Utilities,"Landscaping/Gardening, Maintenance (Common Area), Maintenance (Exterior), Pools, Spa, or Tennis, Reserves, Roof, Water/Sewer",Monthly,Woodspring Condominium Association,2.5,1.0,1196903.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,10272 Danube Dr,Cupertino,CA,95014,999888,2.0,2.0,CUPERTINO,1154.0,,1985.0,15,866.0,563.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Cupertino/10272-Danube-Dr-95014/home/789912,MLSListings,ML81942009,N,Y,37.3197002,-122.0274632,9,9,9,866.0,7633.0,76,Very bikeable,78,Very walkable,48,Some transit,Major,Minimal,Moderate,Minimal,"Places5 groceries, 28 restaurants, 2 parksTransit23, 25, 51, 51H, 53, 55, 56, Express 101, Rapid 523","Sep 15, 2023",Listed (Active)MLSListings #ML81942009,999888.0,"Aug 19, 2012",Pending (Pending Without Release)MLSListings #ML81230145,NA,"Aug 12, 2012",Listed (Active)MLSListings #ML81230145,599950.0,,,,https://www.redfin.com/CA/Cupertino/10272-Danube-Dr-95014/home/789912,"Attached Garage, Tandem Parking",2.0,Shower and Tub,Dining Area,Washer/Dryer,,Other (See Remarks),Radiant,Public Utilities,"Garbage, Insurance, Maintenance (Common Area), Reserves, Water",Monthly,Cupertino Waterfall,2.5,1.0,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,20051 Northwood Dr,Cupertino,CA,95014,1499990,3.0,2.0,CUPERTINO,1487.0,1296.0,1973.0,22,1009.0,470.0,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Cupertino/20051-Northwood-Dr-95014/home/1631674,MLSListings,ML81941337,N,Y,37.3349575,-122.0246194,9,8,6,1009.0,11076.0,70,Very bikeable,57,Somewhat walkable,39,Some transit,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 32 restaurants, 3 parksTransit22, 23, 25, 51, 51H, 53, 55, 56, Express 101, Rapid 522, Rapid 523, School 255","Sep 8, 2023",Listed (Active)MLSListings #ML81941337,1499990.0,"Jun 15, 2018",Pending (Pending (Do Not Show))MLSListings #ML81708810,NA,"Jun 6, 2018",Listed (Active)MLSListings #ML81708810,1249000.0,,,,https://www.redfin.com/CA/Cupertino/20051-Northwood-Dr-95014/home/1631674,Attached Garage,2.0,,Dining Area,"In Garage, Washer/Dryer","Carpet, Laminate",Central Forced Air,Central Forced Air,Public Utilities,"Common Area Electricity, Exterior Painting, Insurance, Landscaping/Gardening, Maintenance (Common Area), Maintenance (Exterior), Management Fee, Pools, Spa, or Tennis, Reserves, Roof",Monthly,Northpoint Homeowner's Association,2.5,3.0,1517159.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1069 E Homestead Rd,Sunnyvale,CA,94087,1950000,4.0,3.0,SUNNYVALE,1907.0,6329.0,1957.0,23,1023.0,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Sunnyvale/1069-E-Homestead-Rd-94087/home/1754510,MLSListings,ML81941008,N,Y,37.3380584,-122.0040236,8,6,8,1023.0,13788.0,65,Bikeable,62,Somewhat walkable,29,Some transit,Minimal,Minimal,Moderate,Minimal,"Places4 groceries, 30 restaurants, 3 parksTransit22, 23, 25, 53, 56, 57, Express 101, Rapid 522, Rapid 523","Sep 7, 2023",Listed (Active)MLSListings #ML81941008,1950000.0,,,,,,,,,,https://www.redfin.com/CA/Sunnyvale/1069-E-Homestead-Rd-94087/home/1754510,"Attached Garage, On Street",2.0,"Shower Over Tub, Stall Shower",Dining Area,"In Garage, Tub/Sink, Washer/Dryer","Carpet, Tile, Vinyl/Linoleum, Wood",Other (See Remarks),Central Forced Air (Gas),Public Utilities,,,,2.5,2.0,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,22022 Lindy Ln,Cupertino,CA,95014,3998000,4.0,3.5,CUPERTINO,3743.0,58428.0,1959.0,24,1068.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Cupertino/22022-Lindy-Ln-95014/home/1191930,MLSListings,ML81940616,N,Y,37.301657,-122.0615724,9,9,10,1068.0,28268.0,2,Somewhat bikeable,8,Car-dependent,0,Minimal transit,Major,Moderate,Moderate,Minimal,"Places5 groceries, 19 restaurants, 15 parksTransit23, 25, 51, 51H, 53, 55, Rapid 523","Sep 26, 2023",Price ChangedMLSListings #ML81940616,3998000.0,"Sep 26, 2023",Price ChangedMLSListings #ML81940616,3988000.0,"Sep 6, 2023",Listed (Active)MLSListings #ML81940616,4188000.0,"Jun 6, 2005",Listing RemovedMLSListings #ML80375609,NA,https://www.redfin.com/CA/Cupertino/22022-Lindy-Ln-95014/home/1191930,"Attached Garage, Guest/Visitor Parking, Off-Street Parking, Workshop in Garage",2.0,"Primary - Oversized Tub, Primary (Stall Shower(s)), Stall Shower, Tub in Master Bedroom","Breakfast Room, Dining Area","In Utility Room, Tub/Sink, Washer/Dryer, Other (See Remarks)","Carpet, Tile, Wood",Central Forced Air,"Central Forced Air, Forced Air",Public Utilities,,,,2.25,1.0,4090818.0,"Feb 2, 2004",ListedMLSListings #ML80375609,2198000.0,,,,,,,,,,,,,,,
MLS Listing,,Vacant Land,22040 Regnart Rd,Cupertino,CA,95014,1750000,,,CUPERTINO,,83634.0,,25,,,Active,,,https://www.redfin.com/CA/Cupertino/22040-Regnart-Rd-95014/home/160798787,MLSListings,ML81930821,N,Y,37.2957248,-122.0601962,9,9,10,,12374.0,,,3,Car-dependent,,,Minimal,Moderate,Moderate,Minimal,"Places4 groceries, 22 restaurants, 13 parksTransit23, 25, 51, 51H, 53, 55, 56, Rapid 523","Sep 5, 2023",Listed (Active)MLSListings #ML81930821,1750000.0,,,,,,,,,,https://www.redfin.com/CA/Cupertino/22040-Regnart-Rd-95014/home/160798787,,,,,,,,,Electricity (Available at Street),,,,2.5,,1733383.0,,,,,,,,,,,,,,,,,,
