SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,HEATING_FEATURES,FLOORING_FEATURES,UTILITIES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,url,HAS_GARAGE,COOLING_FEATURES,BUYER_AGENCY_COMPENSATION,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PARK_DESCRIPTION,BATH_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,NUM_STORIES,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_PRICE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY10_EVENT_TYPE
MLS Listing,,Single Family Residential,66 Elsie St,San Francisco,CA,94110,3898000,5.0,4.0,San Francisco,2810.0,1751.0,1974.0,1,1387.0,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/66-Elsie-St-94110/home/1955807,San Francisco MLS,423905616,N,Y,37.7438097,-122.4172493,"Central, Gas","Tile, Wood",,3,3,1,1387.0,,27561.0,68,Bikeable,93,Walker's paradise,83,Excellent transit,Minimal,Minimal,Minor,Minimal,"Places6 groceries, 31 restaurants, 3 parksTransit12, 14, 14R, 23, 24, 27, 36, 48, 49, 67, 714, 800, Blue-N, Blue-S, Green-N, Green-S, J, Red-N, Red-S, Yellow-N, Yellow-S","Sep 29, 2023",Relisted (Active)San Francisco MLS #423905616,NA,"Sep 22, 2023",Listed (Active)San Francisco MLS #423905616,4000000.0,https://www.redfin.com/CA/San-Francisco/66-Elsie-St-94110/home/1955807,,,,"Mar 25, 2022",PendingSan Francisco MLS #422636441,NA,"Mar 18, 2022",Listed (Active)San Francisco MLS #422636441,1595000.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
MLS Listing,,Single Family Residential,8 16th Ave,San Francisco,CA,94121,5495000,4.0,5.0,San Francisco,,3846.0,1912.0,1,,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/8-16th-Ave-94118/home/605171,San Francisco MLS,423913049,N,Y,37.786781,-122.4752724,"Radiant, Radiant Floor","Carpet, Wood",,8,8,NA,,,39341.0,94,Biker's paradise,84,Very walkable,65,Good transit,Major,Moderate,Minor,Minimal,"Places2 groceries, 30 restaurants, 7 parksTransit1, 28, 29, 31, 38, 38R, 44, 5, 5R, 91","Sep 29, 2023",Listed (Active)San Francisco MLS #423913049,5495000.0,"Nov 27, 2006",DelistedSan Francisco MLS #316347,NA,https://www.redfin.com/CA/San-Francisco/8-16th-Ave-94118/home/605171,,,,"Nov 3, 2006",ListedSan Francisco MLS #316347,1950000.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
MLS Listing,,Single Family Residential,226 Bocana St,San Francisco,CA,94110,1295000,2.0,2.0,San Francisco,1456.0,1794.0,1929.0,1,889.0,,Active,October-1-2023 02:30 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/226-Bocana-St-94110/home/759843,San Francisco MLS,423911371,N,Y,37.7401638,-122.418267,"Central, Gas","Tile, Wood",,3,7,NA,889.0,,9156.0,67,Bikeable,95,Walker's paradise,77,Excellent transit,Minimal,Minimal,Minor,Minimal,"Places6 groceries, 34 restaurants, 4 parksTransit12, 14, 14R, 23, 24, 27, 36, 49, 67, J","Sep 29, 2023",Listed (Active)San Francisco MLS #423911371,1295000.0,,,,https://www.redfin.com/CA/San-Francisco/226-Bocana-St-94110/home/759843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1515 15th St #503,San Francisco,CA,94103,699000,1.0,1.0,SAN FRANCISCO,650.0,14125.0,2014.0,1,1075.0,600.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/1515-15th-St-94103/unit-503/home/108273181,MLSListings,ML81943542,N,Y,37.7665977,-122.4181501,"Central Forced Air, Electric",Wood,Public Utilities,5,7,2,1075.0,697443.0,5542.0,100,/100Biker's paradise,99,Walker's paradise,98,Rider's paradise,Minimal,NA,Minor,Minimal,"Places5 groceries, 30 restaurants, 1 parkTransit12, 14, 14R, 22, 27, 292, 33, 397, 398, 49, 55, 6, 7, 714, 800, 9, 90, 9R, Blue-N, Blue-S, F, FCX, Green-N, Green-S, J, KBUS, KT, L-OWL, M, N, N-OWL, NBUS, Red-N, Red-S, TBUS, Yellow-N, Yellow-S","Sep 29, 2023",Listed (Active)MLSListings #ML81943542,699000.0,"Feb 25, 2022",ContingentMLSListings #ML81878818,NA,https://www.redfin.com/CA/San-Francisco/1515-15th-St-94103/unit-503/home/108273181,1.0,Central Forced Air,2.5,"Feb 17, 2022",Listed (Active)MLSListings #ML81878818,688000.0,,,,,,,,,,"Assigned Spaces, Attached Garage, Electric Gate, Enclosed, Gate/Door Opener","Shower Over Tub, Tile","Breakfast Bar, Dining Area in Living Room",Washer/Dryer,"Common Area Electricity, Common Area Gas, Decks, Garbage, Maintenance (Common Area), Reserves, Roof, Water",Monthly,Fifteen Fifteen,1.0,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,3857 18th St,San Francisco,CA,94114,1350000,2.0,2.0,San Francisco,1563.0,2840.0,1885.0,1,864.0,763.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/3857-18th-St-94114/home/12402162,San Francisco MLS,423912248,N,Y,37.7611361,-122.429647,Central,"Carpet, Tile, Wood",,7,2,2,864.0,1398592.0,10428.0,67,Bikeable,98,Walker's paradise,91,Rider's paradise,NA,NA,NA,NA,"Places1 grocery, 25 restaurants, 5 parksTransit22, 24, 33, 35, 37, F, J, KBUS, KT, L-OWL, M, N, N-OWL, NBUS, TBUS","Sep 29, 2023",Listed (Active)San Francisco MLS #423912248,1350000.0,"Aug 31, 2023",,NA,https://www.redfin.com/CA/San-Francisco/3857-18th-St-94114/home/12402162,,None,,"Jul 6, 2023",,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,181 Fremont St Unit 55C,San Francisco,CA,94105,2995000,2.0,2.5,San Francisco,1605.0,15312.0,2018.0,1,1866.0,3433.0,Active,,,https://www.redfin.com/CA/San-Francisco/181-Fremont-St-94105/unit-55C/home/167020365,San Francisco MLS,423900453,N,Y,37.7896113,-122.3954593,"Central, Radiant Floor","Tile, Wood",,5,3,NA,1866.0,,24610.0,78,Very bikeable,99,Walker's paradise,100,/100Rider's paradise,NA,NA,NA,NA,"Places3 groceries, 24 restaurants, 7 parksTransit101, 114, 130, 132, 14, 14R, 150, 154, 172, 25, 292, 38, 38R, 397, 398, 5, 5R, 7, 701, 702, 703, 704, 705, 706, 707, 713, 714, 800, B, C, CB, E, F, FCX, G, H, J, Lynx, NL, NX, NX1, NX2, NX3, NX4, NXC, O, OX, P, TC, V, W, Z","Sep 28, 2023",Listed (Active)San Francisco MLS #423900453,2995000.0,,,,https://www.redfin.com/CA/San-Francisco/181-Fremont-St-94105/unit-55C/home/167020365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,335 Berry St #108,San Francisco,CA,94158,527536,2.0,2.0,San Francisco,992.0,29040.0,2009.0,1,532.0,797.0,Active,October-6-2023 05:00 PM,October-6-2023 07:00 PM,https://www.redfin.com/CA/San-Francisco/335-Berry-St-94158/unit-108/home/28939190,San Francisco MLS,423913196,N,Y,37.7730819,-122.3962416,Central,"Carpet, Simulated Wood",,5,3,NA,532.0,527303.0,4527.0,94,Biker's paradise,84,Very walkable,83,Excellent transit,Major,NA,Minor,Minimal,"Places3 groceries, 28 restaurants, 6 parksTransit114, 12, 132, 15, 154, 172, 19, 22, 30, 45, 55, 8, 8AX, 8BX, 91, B7, Berk - P52 - P1.5, Berk-SF, CCA/Adobe, East, KT, L1, L2, L3, L4, L5, L6, Megabus, N, N-OWL, NBUS, TBUS, TC, West","Sep 29, 2023",Listed (Active)San Francisco MLS #423913196,527536.0,,,,https://www.redfin.com/CA/San-Francisco/335-Berry-St-94158/unit-108/home/28939190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,88 King St #318,San Francisco,CA,94107,1188000,2.0,2.0,San Francisco,1116.0,82157.0,2000.0,1,1065.0,1250.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/88-King-St-94107/unit-318/home/1381252,San Francisco MLS,423912336,N,Y,37.7806052,-122.3892138,"Electric, MultiZone","Carpet, Tile",,5,3,NA,1065.0,1192546.0,9672.0,89,Very bikeable,91,Walker's paradise,90,Rider's paradise,Minimal,NA,Minor,Minimal,"Places0 groceries, 33 restaurants, 4 parksTransit114, 12, 132, 154, 172, 22, 30, 45, 8, 8AX, 8BX, 91, B7, Berk - P52 - P1.5, Berk-SF, East, FS, G, H, KT, L, L1, L2, L3, L4, L5, L6, LA, M, Megabus, N, N-OWL, NBUS, NX3, NX4, NXC, S, SB, TBUS, TC, West","Sep 29, 2023",Listed (Active)San Francisco MLS #423912336,1188000.0,"Feb 2, 2022",PendingSan Francisco MLS #421605226,NA,https://www.redfin.com/CA/San-Francisco/88-King-St-94107/unit-318/home/1381252,,,,"Jan 10, 2022",Contingent (Contingent - Show)San Francisco MLS #421605226,NA,"Nov 30, 2021",Listed (Active)San Francisco MLS #421605226,1399000.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
MLS Listing,,Single Family Residential,3014 Market St,San Francisco,CA,94114,1325000,2.0,1.0,San Francisco,1028.0,1838.0,1904.0,1,1289.0,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/3014-Market-St-94114/home/670759,San Francisco MLS,423909118,N,Y,37.7612851,-122.4415705,"Central, Gas, Natural Gas","Carpet, Laminate, Wood",,8,2,NA,1289.0,1412993.0,9369.0,65,Bikeable,93,Walker's paradise,78,Excellent transit,Minimal,Minimal,Minor,Minimal,"Places4 groceries, 25 restaurants, 18 parksTransit24, 33, 35, 37, 6, F, KBUS, KT, L-OWL, M, TBUS","Sep 29, 2023",Listed (Active)San Francisco MLS #423909118,1325000.0,"Jan 10, 1997",DelistedSan Francisco MLS #14949,NA,https://www.redfin.com/CA/San-Francisco/3014-Market-St-94114/home/670759,,None,,"Dec 31, 1996",ListedSan Francisco MLS #14949,289000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,404 Ashbury St #1,San Francisco,CA,94117,549000,1.0,1.0,San Francisco,669.0,2868.0,1900.0,1,821.0,428.0,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/404-Ashbury-St-94117/unit-1/home/187744339,San Francisco MLS,423912951,N,Y,37.7715955,-122.4470669,Natural Gas,Wood,,8,2,NA,821.0,574388.0,4359.0,86,Very bikeable,98,Walker's paradise,75,Excellent transit,Moderate,Minor,Minor,Minimal,"Places5 groceries, 26 restaurants, 2 parksTransit21, 31, 33, 37, 43, 5, 5R, 6, 7, N, N-OWL, NBUS","Sep 29, 2023",Listed (Active)San Francisco MLS #423912951,549000.0,,,,https://www.redfin.com/CA/San-Francisco/404-Ashbury-St-94117/unit-1/home/187744339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1699 Oak St,San Francisco,CA,94117,1249000,3.0,1.5,San Francisco,1421.0,2868.0,1900.0,1,879.0,487.0,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/1699-Oak-St-94117/home/187744338,San Francisco MLS,423911308,N,Y,37.7716813,-122.4471152,Natural Gas,"Tile, Wood",,8,2,NA,879.0,1266050.0,9318.0,86,Very bikeable,98,Walker's paradise,75,Excellent transit,Moderate,Minor,Minor,Minimal,"Places5 groceries, 25 restaurants, 2 parksTransit21, 31, 33, 37, 43, 5, 5R, 6, 7, N, N-OWL, NBUS","Sep 29, 2023",Listed (Active)San Francisco MLS #423911308,1249000.0,,,,https://www.redfin.com/CA/San-Francisco/1699-Oak-St-94117/home/187744338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
