SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DESCRIPTION,HAS_GARAGE,BATH_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES,FLOORING_FEATURES,COOLING_FEATURES,HEATING_FEATURES,UTILITIES,NUM_STORIES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,url,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,FEES_INCLUDE,HOA_NAME,HOA_FEE_FREQ,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE,PRICE_HISTORY11_EVENT_DATE,PRICE_HISTORY11_EVENT_TYPE,PRICE_HISTORY11_PRICE,PRICE_HISTORY12_EVENT_DATE,PRICE_HISTORY12_EVENT_TYPE,PRICE_HISTORY12_PRICE
MLS Listing,,Single Family Residential,972 OLIVE St,Menlo Park,CA,94025,7270000,4,4.5,MENLO PARK,3997,10856.0,2023,8,1819,,Active,,,https://www.redfin.com/CA/Menlo-Park/972-Olive-St-94025/home/887250,MLSListings,ML81942933,N,Y,37.4401139,-122.1926304,"Attached Garage, Gate/Door Opener",2.0,"Double Sinks, Full on Ground Floor, Primary (Stall Shower(s)), 2+ Stall Shower, Stone, Tile, Tub in Master Bedroom, 2+ Tubs","Breakfast Bar, Eat in Kitchen, Formal Dining Room","Inside, Tub/Sink","Hardwood, Tile",Multi-Zone,Central Forced Air (Gas),Public Utilities,1.0,9,8,6,2.5,1819.0,7271730.0,51403.0,73,Very bikeable,31,Car-dependent,19,Minimal transit,Minimal,Minimal,Moderate,Minimal,"Places6 groceries, 17 restaurants, 5 parksTransit286, 296, 80, 82, 83, 84, 87, Bus Bridge, ECR, M1 Shuttle, M1 Shuttle (City of Menlo Park), M3 Shuttle, M3 Shuttle (City of Menlo Park)","Sep 22, 2023",Listed (Active)MLSListings #ML81942933,7270000.0,https://www.redfin.com/CA/Menlo-Park/972-Olive-St-94025/home/887250,"Mar 13, 2022",Pending (Pending (Do Not Show))MLSListings #ML81879899,NA,"Feb 25, 2022",Listed (Active)MLSListings #ML81879899,3898880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1074 Del Norte Ave,Menlo Park,CA,94025,3598000,4,4.0,MENLO PARK,3192,8760.0,1954,8,1127,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/1074-Del-Norte-Ave-94025/home/1988439,MLSListings,ML81942932,N,Y,37.4752055,-122.168481,"Attached Garage, Off-Street Parking",2.0,"Full on Ground Floor, Primary - Oversized Tub, Primary (Stall Shower(s))","Breakfast Bar, Dining Area in Living Room","Inside, Washer/Dryer","Hardwood, Tile",Central Forced Air,Central Forced Air,Public Utilities,2.0,8,8,6,2.5,1127.0,3669922.0,25440.0,73,Very bikeable,24,Car-dependent,31,Some transit,Minimal,Minor,Moderate,Minimal,"Places5 groceries, 19 restaurants, 6 parksTransit270, 281, 286, 296, 397, 81, 82, 83, 84, 88, M1 Shuttle, M1 Shuttle (City of Menlo Park), M3 Shuttle, M3 Shuttle (City of Menlo Park), M4 Shuttle, M4 Shuttle (City of Menlo Park)","Sep 22, 2023",Listed (Active)MLSListings #ML81942932,3598000.0,https://www.redfin.com/CA/Menlo-Park/1074-Del-Norte-Ave-94025/home/1988439,"Apr 24, 2009",Listing RemovedMLSListings #ML80908086,NA,"Apr 12, 2009",ContingentMLSListings #ML80908086,NA,"Mar 19, 2009",Price ChangedMLSListings #ML80908086,945000.0,"Feb 16, 2009",ListedMLSListings #ML80908086,965000.0,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1223 Hollyburne Ave,Menlo Park,CA,94025,1388000,4,3.5,MENLO PARK,1225,5750.0,1952,8,1133,,Active,October-1-2023 01:30 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/1223-Hollyburne-Ave-94025/home/1775866,MLSListings,ML81942847,N,Y,37.4749848,-122.1583481,Attached Garage,2.0,,Dining Area in Living Room,,"Hardwood, Tile",Central Forced Air,Central Forced Air (Gas),"Public Utilities, Solar Panels - Owned",1.0,NA,2,6,2.5,1133.0,1394769.0,9814.0,77,Very bikeable,73,Very walkable,37,Some transit,Minimal,Minimal,Moderate,Minimal,"Places8 groceries, 21 restaurants, 9 parksTransit281, 296, 397, 81, 82, 83, 88, M1 Shuttle, M1 Shuttle (City of Menlo Park), M3 Shuttle, M3 Shuttle (City of Menlo Park), M4 Shuttle, M4 Shuttle (City of Menlo Park)","Sep 22, 2023",Listed (Active)MLSListings #ML81942847,1388000.0,https://www.redfin.com/CA/Menlo-Park/1223-Hollyburne-Ave-94025/home/1775866,"Jun 29, 2018","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40826473",NA,"Jun 15, 2018","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40826473",1189000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Multi-Family (2-4 Unit),1139-41 Marsh Rd,Redwood City,CA,94063,1349000,3,3.0,REDWOOD CITY,2569,11200.0,1940,8,525,,Active,,,https://www.redfin.com/CA/Redwood-City/1139-Marsh-Rd-94063/home/2011678,MLSListings,ML81941788,N,Y,37.4816813,-122.1843735,"Attached Garage, Off-Site Parking, On Street",3.0,,,,,,"Gas, Wall Furnace","Individual Electric Meters, Individual Gas Meters, Public Utilities",1.0,3,NA,6,2.5,525.0,1347654.0,9538.0,61,Bikeable,57,Somewhat walkable,,,Minimal,Minor,Moderate,Minimal,"Places4 groceries, 9 restaurants, 10 parksTransit270, 281, 286, 296, 397, 79, 81, 82, 83, 84, 88, M1 Shuttle, M1 Shuttle (City of Menlo Park), M3 Shuttle, M3 Shuttle (City of Menlo Park), MPT Shuttle","Sep 22, 2023",Listed (Active)MLSListings #ML81941788,1349000.0,https://www.redfin.com/CA/Redwood-City/1139-Marsh-Rd-94063/home/2011678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1815 Altschul Ave,Menlo Park,CA,94025,3100000,3,3.0,MENLO PARK,1910,10000.0,1954,9,1623,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/1815-Altschul-Ave-94025/home/2039492,MLSListings,ML81942793,N,Y,37.4341269,-122.21134,"Detached, Drive Through, On Street, Parking Area",2.0,"Double Sinks, Primary (Stall Shower(s)), Shower Over Tub, Stall Shower, Tile","Dining Area in Living Room, Eat in Kitchen",Washer/Dryer,"Hardwood, Laminate, Tile",,"Central Forced Air (Gas), Wall Furnace",Public Utilities,,NA,NA,6,2.5,1623.0,3170685.0,21919.0,45,Somewhat bikeable,47,Car-dependent,,,Minimal,Moderate,Moderate,Minimal,"Places3 groceries, 19 restaurants, 5 parksTransit275, 278, 286, 72, 80, 82, 83, 84, 87, ECR, M1 Shuttle, M1 Shuttle (City of Menlo Park)","Sep 21, 2023",Listed (Active)MLSListings #ML81942793,3100000.0,https://www.redfin.com/CA/Menlo-Park/1815-Altschul-Ave-94025/home/2039492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,28 Athlone Way,Menlo Park,CA,94025,1595000,3,1.5,MENLO PARK,1191,7500.0,1950,9,1339,,Active,,,https://www.redfin.com/CA/Menlo-Park/28-Athlone-Way-94025/home/1360362,MLSListings,ML81942774,N,Y,37.4772863,-122.193096,Attached Garage,1.0,Tile,Dining Area in Living Room,"Dryer, Inside, Tub/Sink, Washer","Carpet, Laminate, Tile",Whole House Fan,Central Forced Air (Gas),Public Utilities,1.0,NA,NA,6,2.5,1339.0,1671735.0,11278.0,58,Bikeable,46,Car-dependent,,,Major,Minimal,Moderate,Minimal,"Places5 groceries, 21 restaurants, 4 parksTransit270, 286, 296, 397, 72, 79, 81, 82, 83, 84, 88, ECR, M1 Shuttle, M1 Shuttle (City of Menlo Park), M3 Shuttle, M3 Shuttle (City of Menlo Park), MPT Shuttle","Sep 21, 2023",Listed (Active)MLSListings #ML81942774,1595000.0,https://www.redfin.com/CA/Menlo-Park/28-Athlone-Way-94025/home/1360362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,739 Fremont St,Menlo Park,CA,94025,2995000,3,3.5,MENLO PARK,2215,17660.0,2005,9,1352,,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Menlo-Park/739-Fremont-St-94025/home/44621128,MLSListings,ML81942765,N,Y,37.4456092,-122.1849522,Attached Garage,2.0,"Double Sinks, Half on Ground Floor, Primary - Oversized Tub, Primary (Stall Shower(s)), Sauna",Dining Area in Family Room,"Upper Floor, Washer/Dryer","Carpet, Hardwood",Central Forced Air,Central Forced Air,"Individual Electric Meters, Individual Gas Meters, Public Utilities",2.0,9,8,6,2.5,1352.0,2983487.0,21177.0,87,Very bikeable,84,Very walkable,37,Some transit,Minimal,NA,Moderate,Minimal,"Places6 groceries, 16 restaurants, 3 parksTransit21, 280, 281, 286, 296, 80, 82, 83, 84, 88, Bus Bridge, ECR, L1, L2, L3, L5, L6, M1 Shuttle, M1 Shuttle (City of Menlo Park), M3 Shuttle, M3 Shuttle (City of Menlo Park), M4 Shuttle, M4 Shuttle (City of Menlo Park)","Sep 21, 2023",Listed (Active)MLSListings #ML81942765,2995000.0,https://www.redfin.com/CA/Menlo-Park/739-Fremont-St-94025/home/44621128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,51 Watkins Ave,Atherton,CA,94027,3999888,4,2.0,ATHERTON,2400,13100.0,1946,11,1667,,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Atherton/51-Watkins-Ave-94027/home/2048813,MLSListings,ML81942488,N,Y,37.4610552,-122.1950715,"Covered Parking, Detached, Electric Gate, Guest/Visitor Parking",3.0,"Full on Ground Floor, Granite, Primary (Stall Shower(s)), Shower Over Tub","Breakfast Bar, Formal Dining Room","Inside, Washer/Dryer","Carpet, Concrete, Hardwood, Laminate, Tile",Central Forced Air,Central Forced Air (Gas),Public Utilities,,8,8,6,2.5,1667.0,4010480.0,28282.0,73,Very bikeable,57,Somewhat walkable,,,Moderate,Minimal,Moderate,Minimal,"Places1 grocery, 20 restaurants, 3 parksTransit270, 286, 296, 397, 79, 80, 81, 82, 83, 84, 88, Bus Bridge, ECR, L1, L2, L3, L5, L6, M1 Shuttle, M1 Shuttle (City of Menlo Park), M3 Shuttle, M3 Shuttle (City of Menlo Park), M4 Shuttle, M4 Shuttle (City of Menlo Park)","Sep 19, 2023",Listed (Active)MLSListings #ML81942488,3999888.0,https://www.redfin.com/CA/Atherton/51-Watkins-Ave-94027/home/2048813,"Jul 26, 2021",Pending (Pending (Do Not Show))MLSListings #ML81853458,NA,"Jul 14, 2021",Listed (Active)MLSListings #ML81853458,2998000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2887 Fordham St,East Palo Alto,CA,94303,2000000,7,4.0,EAST PALO ALTO,2016,8160.0,1953,12,992,,Active,,,https://www.redfin.com/CA/East-Palo-Alto/2887-Fordham-St-94303/home/1316125,MLSListings,ML81942355,N,Y,37.4826444,-122.13402,Off-Street Parking,2.0,,Eat in Kitchen,,,,"Floor Furnace, Forced Air",Public Utilities,1.0,NA,2,6,2.5,992.0,2010655.0,14141.0,47,Somewhat bikeable,23,Car-dependent,,,Major,Minimal,Moderate,Minimal,"Places10 groceries, 24 restaurants, 5 parksTransit280, 281, 296, 397, 81, 83, M1 Shuttle, M1 Shuttle (City of Menlo Park), M4 Shuttle, M4 Shuttle (City of Menlo Park)","Sep 18, 2023",Listed (Active)MLSListings #ML81942355,2000000.0,https://www.redfin.com/CA/East-Palo-Alto/2887-Fordham-St-94303/home/1316125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,675 Sharon Park Dr #135,Menlo Park,CA,94025,899000,2,2.0,MENLO PARK,1020,,1968,12,881,611.0,Active,October-1-2023 12:00 PM,October-1-2023 05:00 PM,https://www.redfin.com/CA/Menlo-Park/675-Sharon-Park-Dr-94025/unit-135/home/2056749,MLSListings,ML81942271,N,Y,37.4231612,-122.201082,"Assigned Spaces, Common Parking Area, Covered Parking",,,Dining Area,,,Central Forced Air,Central Forced Air,Public Utilities,1.0,NA,NA,6,2.5,881.0,908883.0,6967.0,74,Very bikeable,64,Somewhat walkable,18,Minimal transit,Minimal,Major,Moderate,Minimal,"Places4 groceries, 22 restaurants, 6 parksTransit21, 286, 80, 82, 83, 84, 87, M1 Shuttle, M1 Shuttle (City of Menlo Park), U","Sep 18, 2023",Listed (Active)MLSListings #ML81942271,899000.0,https://www.redfin.com/CA/Menlo-Park/675-Sharon-Park-Dr-94025/unit-135/home/2056749,,,,,,,,,,,,,"Common Area Electricity, Garbage, Maintenance (Common Area), Maintenance (Exterior), Pools, Spa, or Tennis",Lincoln Green Homeowners Association,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,262 Oconnor St,Menlo Park,CA,94025,3750000,4,2.5,MENLO PARK,2514,15768.0,1924,12,1492,,Active,,,https://www.redfin.com/CA/Menlo-Park/262-Oconnor-St-94025/home/1552128,MLSListings,ML81942265,N,Y,37.4607377,-122.1492578,Covered Parking,,,Formal Dining Room,Washer/Dryer,,,Central Forced Air,"Public Utilities, Other (See Remarks)",2.0,8,8,6,2.5,1492.0,,26515.0,76,Very bikeable,70,Very walkable,36,Some transit,Minimal,Minimal,Moderate,Minimal,"Places9 groceries, 26 restaurants, 4 parksTransit21, 280, 281, 296, 397, 81, 82, 83, M1 Shuttle, M1 Shuttle (City of Menlo Park), M4 Shuttle, M4 Shuttle (City of Menlo Park)","Sep 18, 2023",Listed (Active)MLSListings #ML81942265,3750000.0,https://www.redfin.com/CA/Menlo-Park/262-Oconnor-St-94025/home/1552128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,960 Lucky Ave,Menlo Park,CA,94025,4500000,6,6.5,MENLO PARK,4035,8320.0,2023,13,1115,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/960-Lucky-Ave-94025/home/185268133,MLSListings,ML81942228,N,Y,37.4317767,-122.199092,"Attached Garage, Off-Street Parking, On Street, Parking Area",2.0,"Double Sinks, Full on Ground Floor, Half on Ground Floor","Dining Area in Family Room, Dining Area in Living Room",In Utility Room,,Central Forced Air,"Central Forced Air (Gas), Solar",Public Utilities,2.0,NA,NA,6,2.5,1115.0,4793128.0,31818.0,72,Very bikeable,62,Somewhat walkable,,,Minimal,Major,Moderate,Minimal,"Places5 groceries, 19 restaurants, 7 parksTransit21, 286, 80, 82, 83, 84, 87, Bus Bridge, ECR, M1 Shuttle, M1 Shuttle (City of Menlo Park), U","Sep 17, 2023",Listed (Active)MLSListings #ML81942228,4500000.0,https://www.redfin.com/CA/Menlo-Park/960-Lucky-Ave-94025/home/185268133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,595 Morey Dr,Menlo Park,CA,94025,3650000,3,2.0,MENLO PARK,1240,8000.0,1944,17,2944,,Active,,,https://www.redfin.com/CA/Menlo-Park/595-Morey-Dr-94025/home/1091594,MLSListings,ML81941171,N,Y,37.4492719,-122.1804747,Attached Garage,1.0,,"Breakfast Bar, Breakfast Nook, Eat in Kitchen, No Formal Dining Room",Inside,"Hardwood, Tile",Central Forced Air,"Central Forced Air, Fireplace","Individual Electric Meters, Individual Gas Meters, Natural Gas, Public Utilities",1.0,9,8,6,2.5,2944.0,3610103.0,25808.0,95,Biker's paradise,89,Very walkable,48,Some transit,Moderate,Minimal,Moderate,Minimal,"Places7 groceries, 23 restaurants, 1 parkTransit21, 280, 281, 286, 296, 397, 80, 81, 82, 83, 84, 88, Bus Bridge, ECR, L1, L2, L3, L5, L6, M1 Shuttle, M1 Shuttle (City of Menlo Park), M3 Shuttle, M3 Shuttle (City of Menlo Park), M4 Shuttle, M4 Shuttle (City of Menlo Park)","Sep 13, 2023",Listed (Active)MLSListings #ML81941171,3650000.0,https://www.redfin.com/CA/Menlo-Park/595-Morey-Dr-94025/home/1091594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,881 Lytton Ave,Palo Alto,CA,94301,2988000,3,2.5,PALO ALTO,1676,3789.0,1926,17,1783,,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/881-Lytton-Ave-94301/home/542884,MLSListings,ML81941702,N,Y,37.453768,-122.1559849,"No Garage, On Street",,"Half on Ground Floor, Marble, Primary (Stall Shower(s)), Shower Over Tub, Stall Shower, Tile","Dining Area in Living Room, Dining Bar, Eat in Kitchen","Dryer, Electricity Hookup (110V), Hookup (Gas Dryer), Inside, Tub/Sink, Washer","Marble, Tile, Wood",Central Forced Air,Central Forced Air,"Individual Electric Meters, Individual Gas Meters, Public Utilities",2.0,8,7,9,2.5,1783.0,,21127.0,87,Very bikeable,75,Very walkable,44,Some transit,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 25 restaurants, 2 parksTransit21, 22, 280, 281, 296, 397, 81, 82, 83, 84, 88, B7, Bus Bridge, ECR, L1, L2, L3, L4, L5, L6, M1 Shuttle, M1 Shuttle (City of Menlo Park), M4 Shuttle, M4 Shuttle (City of Menlo Park), Rapid 522","Sep 13, 2023",Listed (Active)MLSListings #ML81941702,2988000.0,https://www.redfin.com/CA/Palo-Alto/881-Lytton-Ave-94301/home/542884,"Jun 1, 2009",Listing RemovedMLSListings #ML80923142,NA,"May 26, 2009",ContingentMLSListings #ML80923142,NA,"May 12, 2009",ListedMLSListings #ML80923142,1099000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,300 Sand Hill Cir #306,Menlo Park,CA,94025,1658000,2,2.0,MENLO PARK,1956,,1974,19,848,1040.0,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/300-Sand-Hill-Cir-94025/unit-306/home/988321,MLSListings,ML81941493,N,Y,37.4256956,-122.2215136,"Assigned Spaces, Common Parking Area, Covered Parking, Electric Gate, Gate/Door Opener, Guest/Visitor Parking, Underground Parking",2.0,"Double Sinks, Primary (Stall Shower(s)), Shower Over Tub, Stone, Tile, Updated Bath(s)","Dining Area, Dining Area in Living Room, Eat in Kitchen",Inside,"Carpet, Laminate, Tile",Central Forced Air,Central Forced Air,Public Utilities,1.0,NA,NA,6,2.5,848.0,1648385.0,12763.0,48,Somewhat bikeable,15,Car-dependent,10,Minimal transit,Minimal,Moderate,Moderate,Minimal,"Places3 groceries, 22 restaurants, 5 parksTransit275, 278, 286, 72, 79, 80, 82, 83, 84, 85, 87, M1 Shuttle, M1 Shuttle (City of Menlo Park)","Sep 11, 2023",Listed (Active)MLSListings #ML81941493,1658000.0,https://www.redfin.com/CA/Menlo-Park/300-Sand-Hill-Cir-94025/unit-306/home/988321,,,,,,,,,,,,,"Common Area Electricity, Common Area Gas, Decks, Exterior Painting, Garbage, Insurance (Common Area), Insurance (Earthquake), Landscaping/Gardening, Maintenance (Common Area), Maintenance (Exterior), Maintenance (Road), Management Fee, Pools, Spa, or Tennis, Reserves, Roof, Sewer, Water/Sewer",Sandhill Circle HOA,Monthly,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,15 San Juan Ave,Menlo Park,CA,94025,2950000,3,2.0,MENLO PARK,1690,9850.0,1959,19,1746,,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Menlo-Park/15-San-Juan-Ave-94025/home/1454863,MLSListings,ML81941487,N,Y,37.4394867,-122.2074268,"Detached, Off-Street Parking",2.0,"Shower and Tub, Stall Shower","Dining Area in Living Room, Eat in Kitchen","Inside, Tub/Sink, Washer/Dryer","Hardwood, Tile, Vinyl/Linoleum",Whole House Fan,Central Forced Air (Gas),Public Utilities,1.0,NA,NA,6,2.5,1746.0,2959324.0,20858.0,67,Bikeable,27,Car-dependent,,,Major,Minimal,Moderate,Minimal,"Places5 groceries, 18 restaurants, 8 parksTransit275, 278, 286, 72, 80, 82, 83, 84, 87, ECR, M1 Shuttle, M1 Shuttle (City of Menlo Park)","Sep 26, 2023",Price ChangedMLSListings #ML81941487,2950000.0,https://www.redfin.com/CA/Menlo-Park/15-San-Juan-Ave-94025/home/1454863,"Sep 11, 2023",Listed (Active)MLSListings #ML81941487,3500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,150 Alma St #309,Menlo Park,CA,94025,1999000,2,2.0,MENLO PARK,1872,,1975,19,1068,1534.0,Active,,,https://www.redfin.com/CA/Menlo-Park/150-Alma-St-94025/unit-309/home/187419950,MLSListings,ML81936890,N,Y,37.4487463,-122.1714579,Underground Parking,2.0,"Shower Over Tub, Stall Shower, Tub w/Jets",Dining Area in Living Room,"In Utility Room, Washer/Dryer","Carpet, Tile, Wood",Central Forced Air,Central Forced Air,Public Utilities,1.0,8,8,6,2.5,1068.0,1988905.0,15668.0,97,Biker's paradise,75,Very walkable,54,Good transit,NA,NA,NA,NA,"Places1 grocery, 30 restaurants, 5 parksTransit21, 22, 280, 281, 286, 296, 397, 80, 81, 82, 83, 84, 88, B7, Bus Bridge, ECR, L1, L2, L3, L4, L5, L6, M1 Shuttle, M1 Shuttle (City of Menlo Park), M3 Shuttle, M3 Shuttle (City of Menlo Park), M4 Shuttle, M4 Shuttle (City of Menlo Park), Rapid 522, U","Sep 11, 2023",Listed (Active)MLSListings #ML81936890,1999000.0,https://www.redfin.com/CA/Menlo-Park/150-Alma-St-94025/unit-309/home/187419950,"Apr 24, 2002",Listing RemovedMLSListings #ML80209849,NA,"Mar 2, 2002",ListedMLSListings #ML80209849,750000.0,,,,,,,"Common Area Electricity, Common Area Gas, Landscaping/Gardening, Maintenance (Common Area), Pools, Spa, or Tennis",Menlo Alma Homeowners Association,Monthly,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,644 Sand Hill Cir,Menlo Park,CA,94025,2077000,3,2.5,MENLO PARK,2280,1950.0,1976,19,911,630.0,Active,,,https://www.redfin.com/CA/Menlo-Park/644-Sand-Hill-Cir-94025/home/1727457,MLSListings,ML81941481,N,Y,37.421658,-122.220917,"Attached Garage, Common Parking Area",2.0,"Double Sinks, Half on Ground Floor, Primary (Stall Shower(s)), Shower Over Tub, Tile","Eat in Kitchen, Formal Dining Room","Inside, Upper Floor, Washer/Dryer",,"Ceiling Fan, Central Forced Air",Central Forced Air (Gas),"Individual Electric Meters, Individual Gas Meters",2.0,NA,NA,6,2.5,911.0,2068017.0,15316.0,53,Bikeable,17,Car-dependent,7,Minimal transit,Minimal,Moderate,Moderate,Minimal,"Places5 groceries, 22 restaurants, 6 parksTransit275, 278, 286, 72, 79, 80, 82, 83, 84, 85, 87, M1 Shuttle, M1 Shuttle (City of Menlo Park)","Sep 11, 2023",Listed (Active)MLSListings #ML81941481,2077000.0,https://www.redfin.com/CA/Menlo-Park/644-Sand-Hill-Cir-94025/home/1727457,"May 7, 2010",Pending (Pending (Do Not Show))MLSListings #ML81003412,NA,"Apr 16, 2010",Pending (Contingent)MLSListings #ML81003412,NA,"Feb 28, 2010",Price ChangedMLSListings #ML81003412,1100000.0,"Jan 25, 2010",Listed (Active)MLSListings #ML81003412,1149000.0,"Common Area Electricity, Common Area Gas, Insurance (Common Area), Maintenance (Common Area), Maintenance (Road), Pools, Spa, or Tennis, Recreation Facility, Water/Sewer",Sand Hill Townhouse Association,Monthly,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,165 Pineview Ln,Menlo Park,CA,94025,4175000,4,2.0,MENLO PARK,2090,10000.0,1956,19,1998,,Active,October-1-2023 02:30 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/165-Pineview-Ln-94025/home/1644295,MLSListings,ML81941474,N,Y,37.4390573,-122.1998075,Detached,2.0,,Dining Area in Living Room,Washer/Dryer,,,Forced Air,Public Utilities,1.0,9,8,6,2.5,1998.0,,29520.0,76,Very bikeable,44,Car-dependent,19,Minimal transit,Minimal,Minor,Moderate,Minimal,"Places6 groceries, 17 restaurants, 7 parksTransit286, 80, 82, 83, 84, 87, Bus Bridge, ECR, M1 Shuttle, M1 Shuttle (City of Menlo Park)","Sep 11, 2023",Listed (Active)MLSListings #ML81941474,4175000.0,https://www.redfin.com/CA/Menlo-Park/165-Pineview-Ln-94025/home/1644295,"Apr 12, 2005",Listing RemovedMLSListings #ML80513144,NA,"Mar 17, 2005",ListedMLSListings #ML80513144,1635000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
