SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES,COOLING_FEATURES,HEATING_FEATURES,UTILITIES,NUM_STORIES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,url,HAS_GARAGE,BATH_DESCRIPTION,FLOORING_FEATURES,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,FEES_INCLUDE,HOA_NAME,HOA_FEE_FREQ,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE
MLS Listing,,Condo/Co-op,1400 Bowe Ave #507,Santa Clara,CA,95051,795000,2.0,2.0,Santa Clara,1062.0,1059.0,1984.0,3.0,749.0,652.0,Active,October-1-2023 01:00 PM,October-1-2023 03:00 PM,https://www.redfin.com/CA/Santa-Clara/1400-Bowe-Ave-95051/unit-507/home/691768,San Francisco MLS,423900426,N,Y,37.3502931,-121.9736544,,,,,Central,,,7,6,7,,749.0,,6273.0,58,Bikeable,64,Somewhat walkable,45,Some transit,Minimal,Minimal,Major,Minimal,"Places0 groceries, 33 restaurants, 2 parksTransit21, 22, 53, 57, 59, ACE Yellow, Rapid 522","Sep 27, 2023",Listed (Active)San Francisco MLS #423900426,795000.0,https://www.redfin.com/CA/Santa-Clara/1400-Bowe-Ave-95051/unit-507/home/691768,,,Carpet,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,2970 Roma Ct,Santa Clara,CA,95051,1299000,3.0,2.0,SANTA CLARA,1211.0,,1971.0,3.0,1073.0,435.0,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Santa-Clara/2970-Roma-Ct-95051/home/742693,MLSListings,ML81943314,N,Y,37.325709,-121.9793362,Attached Garage,Dining Area,"In Garage, Inside",Window/Wall Unit,Central Forced Air (Gas),Public Utilities,2.0,9,8,9,2.5,1073.0,1502924.0,9620.0,71,Very bikeable,74,Very walkable,43,Some transit,Moderate,Minimal,Major,Minimal,"Places7 groceries, 30 restaurants, 3 parksTransit22, 23, 25, 53, 57, 59, Express 101, Rapid 522, Rapid 523","Sep 27, 2023",Listed (Active)MLSListings #ML81943314,1299000.0,https://www.redfin.com/CA/Santa-Clara/2970-Roma-Ct-95051/home/742693,2.0,,,"Jun 30, 2006",Listing RemovedMLSListings #ML80637983,NA,"Jun 21, 2006",ListedMLSListings #ML80637983,615000.0,,,,,,,"Garbage, Maintenance (Common Area), Maintenance (Exterior), Pools, Spa, or Tennis, Recreation Facility, Roof, Water",Park Villas Forest Park,Monthly,,,,,,,,,
MLS Listing,,Single Family Residential,1226 Lincoln St,Santa Clara,CA,95050,1598000,3.0,2.0,SANTA CLARA,1710.0,6160.0,1913.0,3.0,935.0,,Active,October-1-2023 12:00 PM,October-1-2023 03:00 PM,https://www.redfin.com/CA/Santa-Clara/1226-Lincoln-St-95050/home/715322,MLSListings,ML81943308,N,Y,37.3492807,-121.9531547,"Covered Parking, Detached, On Street",Dining Area in Family Room,,Central Forced Air,Forced Air,"Natural Gas, Public Utilities",1.0,5,5,7,2.5,935.0,1603386.0,11299.0,82,Very bikeable,86,Very walkable,49,Some transit,Minimal,Minimal,Major,Minimal,"Places2 groceries, 27 restaurants, 2 parksTransit21, 22, 53, 59, 60, ACE, ACETrain, BusBridge Caltrain (MPK-SCL)), CC, L1, L2, L4, L5, L6, Rapid 522","Sep 27, 2023",Listed (Active)MLSListings #ML81943308,1598000.0,https://www.redfin.com/CA/Santa-Clara/1226-Lincoln-St-95050/home/715322,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,3212 Loma Alta Dr,Santa Clara,CA,95051,1999950,4.0,2.0,SANTA CLARA,1700.0,10795.0,1963.0,3.0,1176.0,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/3212-Loma-Alta-Dr-95051/home/1765625,MLSListings,ML81941906,N,Y,37.3437753,-121.9849227,Attached Garage,"Dining Area, Eat in Kitchen","Dryer, In Garage, Washer",Ceiling Fan,Central Forced Air,Public Utilities,2.0,7,6,7,2.5,1176.0,2176445.0,14141.0,57,Bikeable,51,Somewhat walkable,40,Some transit,Minimal,Minimal,Major,Minimal,"Places3 groceries, 21 restaurants, 4 parksTransit21, 22, 23, 53, 57, 59, Rapid 522, Rapid 523","Sep 27, 2023",Listed (Active)MLSListings #ML81941906,1999950.0,https://www.redfin.com/CA/Santa-Clara/3212-Loma-Alta-Dr-95051/home/1765625,2.0,"Primary (Stall Shower(s)), Shower Over Tub","Carpet, Hardwood, Tile",,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,1316 Karina Way,Santa Clara,CA,95051,1329000,3.0,2.5,SANTA CLARA,1845.0,1750.0,1978.0,3.0,720.0,582.0,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/1316-Karina-Way-95051/home/1683448,MLSListings,ML81943260,N,Y,37.3489778,-121.9986934,Attached Garage,Dining Area,,Central Forced Air,Central Forced Air (Gas),Public Utilities,2.0,8,6,8,2.5,720.0,1449596.0,9979.0,66,Bikeable,75,Very walkable,41,Some transit,Moderate,Minimal,Major,Minimal,"Places4 groceries, 32 restaurants, 3 parksTransit21, 22, 23, 53, 56, 57, ACE Gray, Express 101, L1, L2, L3, L6, Rapid 522","Sep 27, 2023",Listed (Active)MLSListings #ML81943260,1329000.0,https://www.redfin.com/CA/Santa-Clara/1316-Karina-Way-95051/home/1683448,2.0,Half on Ground Floor,"Carpet, Tile, Vinyl/Linoleum",,,,,,,,,,,,,"Common Area Electricity, Common Area Gas, Insurance, Landscaping/Gardening, Maintenance (Common Area), Recreation Facility, Reserves",Casa Del Valle  HOA,,,,,,,,,,
MLS Listing,,Single Family Residential,3486 Flora Vista Ave,Santa Clara,CA,95051,1638000,4.0,3.0,SANTA CLARA,1623.0,5831.0,1954.0,3.0,1009.0,,Active,October-1-2023 12:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/3486-Flora-Vista-Ave-95051/home/1247717,MLSListings,ML81943257,N,Y,37.354832,-121.9924746,"Attached Garage, Gate/Door Opener","Dining Area in Living Room, Eat in Kitchen",In Garage,,Forced Air,Public Utilities,2.0,5,6,8,2.5,1009.0,1895999.0,11582.0,67,Bikeable,89,Very walkable,42,Some transit,Minimal,Minimal,Major,Minimal,"Places8 groceries, 32 restaurants, 4 parksTransit21, 22, 53, 56, 57, ACE Gray, L1, L2, L3, L6, Rapid 522","Sep 27, 2023",Listed (Active)MLSListings #ML81943257,1638000.0,https://www.redfin.com/CA/Santa-Clara/3486-Flora-Vista-Ave-95051/home/1247717,2.0,"Primary (Stall Shower(s)), Shower Over Tub, Solid Surface, 2+ Stall Shower, Tile, Updated Bath(s)","Carpet, Laminate",,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2647 Phillips Ave,Santa Clara,CA,95051,2049000,3.0,2.0,SANTA CLARA,1462.0,5814.0,1956.0,3.0,1402.0,,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Santa-Clara/2647-Phillips-Ave-95051/home/1357304,MLSListings,ML81943240,N,Y,37.34873,-121.9747047,"Attached Garage, Electric Car Hookup, On Street","Breakfast Bar, Dining Area, Eat in Kitchen","Electricity Hookup (220V), Inside",Central Forced Air,Central Forced Air (Gas),Public Utilities,1.0,7,6,7,2.5,1402.0,2084486.0,14488.0,57,Bikeable,52,Somewhat walkable,45,Some transit,Moderate,Minimal,Major,Minimal,"Places0 groceries, 30 restaurants, 5 parksTransit21, 22, 53, 57, 59, ACE Yellow, Rapid 522","Sep 27, 2023",Listed (Active)MLSListings #ML81943240,2049000.0,https://www.redfin.com/CA/Santa-Clara/2647-Phillips-Ave-95051/home/1357304,2.0,"Double Sinks, Primary (Stall Shower(s)), Shower and Tub, Tile, Updated Bath(s)","Hardwood, Tile",,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,732 Pritchard Ct,Santa Clara,CA,95051,2398000,6.0,4.5,SANTA CLARA,3139.0,5240.0,1955.0,4.0,764.0,,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Santa-Clara/732-Pritchard-Ct-95051/home/1515284,MLSListings,ML81943203,N,Y,37.3367711,-121.9748157,Attached Garage,Formal Dining Room,"Tub/Sink, Upper Floor","Central Forced Air, Multi-Zone","Central Forced Air, Heating (2+ Zones)",Public Utilities,2.0,9,5,7,2.5,764.0,2426285.0,16955.0,87,Very bikeable,76,Very walkable,35,Some transit,Minimal,Minor,Major,Minimal,"Places2 groceries, 15 restaurants, 6 parksTransit22, 23, 53, 57, 59, 60, Rapid 522, Rapid 523","Sep 26, 2023",Listed (Active)MLSListings #ML81943203,2398000.0,https://www.redfin.com/CA/Santa-Clara/732-Pritchard-Ct-95051/home/1515284,2.0,,Hardwood,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,3725 Terstena Pl #141,Santa Clara,CA,95051,649000,2.0,1.0,SANTA CLARA,912.0,,1986.0,4.0,712.0,689.0,Active,,,https://www.redfin.com/CA/Santa-Clara/3725-Terstena-Pl-95051/unit-141/home/1773359,MLSListings,ML81943163,N,Y,37.3584218,-121.999683,"Assigned Spaces, Guest/Visitor Parking, No Garage, Parking Area, Uncovered Parking, Underground Parking","Dining Area in Living Room, No Informal Dining Room","Inside, Washer/Dryer",Central Forced Air,Central Forced Air,Public Utilities,1.0,7,6,8,2.5,712.0,653848.0,5278.0,70,Very bikeable,64,Somewhat walkable,38,Some transit,NA,NA,NA,NA,"Places4 groceries, 38 restaurants, 1 parkTransit20, 21, 22, 53, 56, 57, ACE Gray, L1, L2, L3, L6, Rapid 522","Sep 26, 2023",Listed (Active)MLSListings #ML81943163,649000.0,https://www.redfin.com/CA/Santa-Clara/3725-Terstena-Pl-95051/unit-141/home/1773359,,Shower Over Tub,,"May 22, 2014",Pending (Pending (Do Not Show))MLSListings #ML81416656,NA,"May 14, 2014",Listed (Active)MLSListings #ML81416656,425000.0,,,,,,,"Common Area Electricity, Common Area Gas, Maintenance (Common Area), Maintenance (Exterior), Management Fee, Pools, Spa, or Tennis, Recreation Facility, Roof, Sewer, Water",MIRAMAR TERRACE HOA,,,,,,,,,,
MLS Listing,,Single Family Residential,10080 Judy Ave,Cupertino,CA,95014,4850000,5.0,4.5,CUPERTINO,3779.0,9375.0,2023.0,4.0,1283.0,,Active,,,https://www.redfin.com/CA/Cupertino/10080-Judy-Ave-95014/home/794599,MLSListings,ML81943132,N,Y,37.3217344,-122.0052228,Attached Garage,Dining Area in Family Room,,Central Forced Air,Central Forced Air,Public Utilities,1.0,9,8,9,2.5,1283.0,4861940.0,34293.0,77,Very bikeable,62,Somewhat walkable,42,Some transit,Minimal,Minimal,Moderate,Minimal,"Places1 grocery, 40 restaurants, 5 parksTransit23, 25, 51, 53, 55, 56, Express 101, Rapid 523","Sep 26, 2023",Listed (Active)MLSListings #ML81943132,4850000.0,https://www.redfin.com/CA/Cupertino/10080-Judy-Ave-95014/home/794599,2.0,,Hardwood,"Jul 28, 2022",ListedMLSListings #ML81901911,2500000.0,,,,,,,,,,,,,,,,,,,,,
