SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DESCRIPTION,DINNING_DESC,FLOORING_FEATURES,COOLING_FEATURES,HEATING_FEATURES,UTILITIES,NUM_STORIES,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,url,HAS_GARAGE,BATH_DESCRIPTION,LAUNDARY_FEATURES,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE
MLS Listing,,Condo/Co-op,22330 Homestead Rd #116,Cupertino,CA,95014,1199000,2,2.0,CUPERTINO,1249,,1984,15,960,640.0,Active,,,https://www.redfin.com/CA/Cupertino/22330-Homestead-Rd-95014/unit-116/home/916977,MLSListings,ML81942126,N,Y,37.3369392,-122.0658113,"Common Parking Area, Covered Parking, Underground Parking",Dining Area,,,Electric,Public Utilities,1.0,"Landscaping/Gardening, Maintenance (Common Area), Maintenance (Exterior), Pools, Spa, or Tennis, Reserves, Roof, Water/Sewer",Monthly,Woodspring Condominium Association,9,8,8,2.5,960.0,1196903.0,9118.0,58,Bikeable,66,Somewhat walkable,25,Some transit,Minimal,Major,Moderate,Minimal,"Places5 groceries, 14 restaurants, 13 parksTransit23, 25, 51, 51H, 53, 55, Rapid 523, School 255","Sep 15, 2023",Listed (Active)MLSListings #ML81942126,1199000.0,,,,,,,https://www.redfin.com/CA/Cupertino/22330-Homestead-Rd-95014/unit-116/home/916977,2.0,,"Inside, Washer/Dryer",,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,4284 Los Palos Cir,Palo Alto,CA,94306,10875000,6,5.5,PALO ALTO,7030,10565.0,2023,16,1547,,Active,,,https://www.redfin.com/CA/Palo-Alto/4284-Los-Palos-Cir-94306/home/1684027,MLSListings,ML81941520,N,Y,37.4040429,-122.1243484,Attached Garage,Dining Area in Living Room,Hardwood,"Central Forced Air, Multi-Zone","Central Forced Air, Heating (2+ Zones)",Public Utilities,2.0,,,,8,8,9,2.5,1547.0,10504926.0,76893.0,88,Very bikeable,49,Car-dependent,44,Some transit,Moderate,Minimal,Moderate,Minimal,"Places3 groceries, 28 restaurants, 4 parksTransit21, 22, 40, 89, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, Express 101, Express 102, Express 103, Express 104, L1, L2, L3, L6, Rapid 522, School 288, School 288L, School 288M","Sep 14, 2023",Listed (Active)MLSListings #ML81941520,10875000.0,"Sep 20, 2017",Pending (Pending (Do Not Show))MLSListings #ML81676722,NA,"Sep 19, 2017",ContingentMLSListings #ML81676722,NA,https://www.redfin.com/CA/Palo-Alto/4284-Los-Palos-Cir-94306/home/1684027,1.0,"Primary - Oversized Tub, Primary (Stall Shower(s)), 2+ Stall Shower","Dryer, Inside, Washer","Sep 15, 2017",Pending (Pending (Do Not Show))MLSListings #ML81676722,NA,"Sep 6, 2017",Listed (Active)MLSListings #ML81676722,2998000.0,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1166 Spencer Ct,Mountain View,CA,94040,4698000,5,4.0,MOUNTAIN VIEW,3923,10955.0,1964,17,1198,,Active,,,https://www.redfin.com/CA/Mountain-View/1166-Spencer-Ct-94040/home/1414058,MLSListings,ML81941745,N,Y,37.3670641,-122.0946181,Attached Garage,"Breakfast Bar, Breakfast Nook, Formal Dining Room","Carpet, Hardwood",,Central Forced Air (Gas),Public Utilities,1.0,,,,9,10,8,2.5,1198.0,4834137.0,33218.0,81,Very bikeable,51,Somewhat walkable,20,Minimal transit,Minimal,Minimal,Moderate,Minimal,"Places5 groceries, 11 restaurants, 6 parksTransit21, 22, 40, 51, 51H, 52, Rapid 522","Sep 28, 2023",Price ChangedMLSListings #ML81941745,4698000.0,"Sep 13, 2023",Listed (Active)MLSListings #ML81941745,4800000.0,"Mar 12, 2008",Listing RemovedMLSListings #ML80782420,NA,https://www.redfin.com/CA/Mountain-View/1166-Spencer-Ct-94040/home/1414058,2.0,"Double Sinks, Primary - Oversized Tub, Shower Over Tub, Skylight, 2+ Stall Shower, Tub in Master Bedroom, Updated Bath(s)","In Utility Room, Inside, Washer/Dryer","Mar 5, 2008",ListedMLSListings #ML80782420,1688000.0,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,646 Distel Dr,Los Altos,CA,94022,4488000,4,2.5,LOS ALTOS,2633,11480.0,1963,17,1705,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Los-Altos/646-Distel-Dr-94022/home/636990,MLSListings,ML81941717,N,Y,37.3926942,-122.1060452,"Attached Garage, Electric Car Hookup, Gate/Door Opener, Uncovered Parking","Breakfast Bar, Dining Area, Dining Bar, Eat in Kitchen, Skylight(s)","Hardwood, Stone, Tile",Central Forced Air,"Central Forced Air (Gas), Fireplace","Individual Electric Meters, Individual Gas Meters, Public Utilities",2.0,,,,8,8,9,2.5,1705.0,,31733.0,66,Bikeable,45,Car-dependent,43,Some transit,Minimal,Minimal,Moderate,Minimal,"Places6 groceries, 29 restaurants, 3 parksTransit21, 22, 40, 52, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, L1, L2, L3, L6, Rapid 522","Sep 13, 2023",Listed (Active)MLSListings #ML81941717,4488000.0,,,,,,,https://www.redfin.com/CA/Los-Altos/646-Distel-Dr-94022/home/636990,2.0,"Bidet, Double Sinks, Dual Flush Toilet, Full on Ground Floor, Half on Ground Floor, Primary (Stall Shower(s)), Shower Over Tub, Split Bath, Tile, Tub in Master Bedroom","Dryer, Inside, Tub/Sink, Washer",,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,721 Orange Ave,Los Altos,CA,94022,4498000,4,2.5,LOS ALTOS,2700,6554.0,1984,23,1666,,Active,,,https://www.redfin.com/CA/Los-Altos/721-Orange-Ave-94022/home/593859,MLSListings,ML81941042,N,Y,37.3707761,-122.1138993,"Attached Garage, Off-Street Parking","Breakfast Bar, Dining Area, Formal Dining Room","Hardwood, Tile",Central Forced Air,"Central Forced Air (Gas), Heating (2+ Zones)",Public Utilities,2.0,,,,9,8,9,2.5,1666.0,4479118.0,31804.0,91,Biker's paradise,69,Somewhat walkable,29,Some transit,Minimal,Minimal,Moderate,Minimal,"Places2 groceries, 25 restaurants, 6 parksTransit21, 22, 40, 51, 51H, 52, C - AM, C - PM, C - PM Concert, D - AM, D - PM, Rapid 522, School 288, School 288L, School 288M","Sep 7, 2023",Listed (Active)MLSListings #ML81941042,4498000.0,,,,,,,https://www.redfin.com/CA/Los-Altos/721-Orange-Ave-94022/home/593859,2.0,"Double Sinks, Half on Ground Floor, Primary (Stall Shower(s))",,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,551 Tyndall St,Los Altos,CA,94022,1995000,3,3.0,LOS ALTOS,2024,,1975,25,986,315.0,Active,,,https://www.redfin.com/CA/Los-Altos/551-Tyndall-St-94022/home/1822695,MLSListings,ML81940740,N,Y,37.373134,-122.112827,"Detached, Gate/Door Opener, Off-Street Parking, On Street",Formal Dining Room,"Carpet, Hardwood, Stone, Tile, Vinyl/Linoleum",Central Forced Air,Central Forced Air,Public Utilities,2.0,"Common Area Electricity, Exterior Painting, Fencing, Garbage, Insurance (Hazard)",Monthly,Tyndall Oaks HOA,9,8,9,2.5,986.0,1982355.0,14421.0,95,Biker's paradise,82,Very walkable,29,Some transit,Minimal,Minor,Moderate,Minimal,"Places2 groceries, 24 restaurants, 5 parksTransit21, 22, 40, 51, 51H, 52, C - AM, C - PM, C - PM Concert, D - AM, D - PM, Rapid 522","Sep 5, 2023",Listed (Active)MLSListings #ML81940740,1995000.0,"Sep 30, 2005",Listing RemovedMLSListings #ML80544269,NA,"Aug 3, 2005",ListedMLSListings #ML80544269,950000.0,https://www.redfin.com/CA/Los-Altos/551-Tyndall-St-94022/home/1822695,2.0,"Double Sinks, Full on Ground Floor, Granite, Primary (Stall Shower(s)), Shower Over Tub, 2+ Stall Shower, Updated Bath(s)","Dryer, Electricity Hookup (220V), In Utility Room, Inside, Upper Floor, Washer/Dryer",,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,830 Laverne Way,Los Altos,CA,94022,11998000,6,8.5,LOS ALTOS,6479,19738.0,2023,30,1852,,Active,,,https://www.redfin.com/CA/Los-Altos/830-Laverne-Way-94022/home/1432350,MLSListings,ML81920395,N,Y,37.3976665,-122.1233057,"Attached Garage, Electric Car Hookup","Dining Area in Family Room, Formal Dining Room","Hardwood, Tile","Central Forced Air, Multi-Zone","Central Forced Air, Heat Pump, Heating (2+ Zones)","Individual Electric Meters, Individual Gas Meters, Public Utilities, Solar Panels - Owned",3.0,,,,7,8,9,2.5,1852.0,11246714.0,84833.0,80,Very bikeable,38,Car-dependent,39,Some transit,Minimal,Minor,Moderate,Minimal,"Places3 groceries, 28 restaurants, 3 parksTransit21, 22, 40, 89, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, Express 101, Express 102, Express 103, Express 104, L1, L2, L3, L6, Rapid 522, School 288, School 288L, School 288M","Aug 31, 2023",Listed (Active)MLSListings #ML81920395,11998000.0,"Oct 8, 2021",Pending (Pending (Do Not Show))MLSListings #ML81864751,NA,"Sep 29, 2021",Listed (Active)MLSListings #ML81864751,4495000.0,https://www.redfin.com/CA/Los-Altos/830-Laverne-Way-94022/home/1432350,2.0,"Double Sinks, Full on Ground Floor, Half on Ground Floor, Primary - Oversized Tub, Sauna, Tile, Tub in Master Bedroom, Other (See Remarks)","Inside, Upper Floor, Washer/Dryer",,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,134 Lyell St,Los Altos,CA,94022,1408800,3,2.0,LOS ALTOS,1405,,1967,45,1003,450.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Altos/134-Lyell-St-94022/home/1164664,MLSListings,ML81938701,N,Y,37.3753429,-122.1110502,"Detached, Uncovered Parking","Dining Area, Eat in Kitchen","Laminate, Tile",Central Forced Air,Forced Air,Public Utilities,1.0,"Exterior Painting, Insurance, Landscaping/Gardening, Management Fee, Reserves, Roof",Monthly,Lyell Los Altos HOA,9,8,9,2.5,1003.0,1411259.0,10411.0,93,Biker's paradise,82,Very walkable,29,Some transit,Minimal,Minimal,Moderate,Minimal,"Places2 groceries, 28 restaurants, 3 parksTransit21, 22, 40, 51, 51H, 52, C - AM, C - PM, C - PM Concert, D - AM, D - PM, Rapid 522","Aug 16, 2023",Listed (Active)MLSListings #ML81938701,1408800.0,"Apr 28, 2014",ListedMLSListings #ML81414221,1200000.0,"Apr 28, 2014",Listing RemovedMLSListings #ML81414221,NA,https://www.redfin.com/CA/Los-Altos/134-Lyell-St-94022/home/1164664,1.0,"Shower Over Tub, Stall Shower, Tub in Master Bedroom, Updated Bath(s)",Washer/Dryer,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,931 Loraine Ave,Los Altos,CA,94024,3498000,4,3.5,LOS ALTOS,2864,4431.0,2023,51,1221,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Altos/931-Loraine-Ave-94024/home/176496944,MLSListings,ML81938008,N,Y,37.3551141,-122.0889135,Attached Garage,Dining Area,"Hardwood, Tile","Central Forced Air, Multi-Zone",Heat Pump,Public Utilities,2.0,,,,9,10,8,2.5,1221.0,3411009.0,24733.0,75,Very bikeable,63,Somewhat walkable,17,Minimal transit,Minimal,Major,Moderate,Minimal,"Places5 groceries, 11 restaurants, 7 parksTransit22, 40, 51, 51H, 52, 53, Rapid 522","Aug 10, 2023",Listed (Active)MLSListings #ML81938008,3498000.0,,,,,,,https://www.redfin.com/CA/Los-Altos/931-Loraine-Ave-94024/home/176496944,1.0,,In Utility Room,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,219 Portola Ct,Los Altos,CA,94022,7240000,4,4.5,LOS ALTOS,4460,20039.0,2023,51,1623,,Active,,,https://www.redfin.com/CA/Los-Altos/219-Portola-Ct-94022/home/635306,MLSListings,ML81937981,N,Y,37.3955002,-122.1087299,Attached Garage,"Breakfast Bar, Dining Area, Eat in Kitchen, Formal Dining Room","Hardwood, Tile",Multi-Zone,Forced Air,Public Utilities,1.0,,,,8,8,9,2.5,1623.0,,51191.0,74,Very bikeable,73,Very walkable,46,Some transit,Minimal,Minimal,Moderate,Minimal,"Places8 groceries, 28 restaurants, 3 parksTransit21, 22, 40, 52, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, L1, L2, L3, L6, Rapid 522, School 288, School 288L, School 288M","Sep 15, 2023",Price ChangedMLSListings #ML81937981,7240000.0,"Aug 10, 2023",Listed (Active)MLSListings #ML81937981,7735000.0,"Jul 9, 2021",Pending (Pending (Do Not Show))MLSListings #ML81851816,NA,https://www.redfin.com/CA/Los-Altos/219-Portola-Ct-94022/home/635306,2.0,"Double Sinks, Full on Ground Floor, Primary - Oversized Tub, Primary (Stall Shower(s)), Shower Over Tub, Stall Shower, Stone, Tile","Inside, Other (See Remarks)","Jul 2, 2021",Listed (Active)MLSListings #ML81851816,3598000.0,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,889 N San Antonio Rd #2010,Los Altos,CA,94022,1398000,2,2.0,LOS ALTOS,1124,1486.0,2018,51,1244,731.0,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Los-Altos/889-N-San-Antonio-Rd-94022/unit-2010/home/147046042,MLSListings,ML81937901,N,Y,37.3989362,-122.1139484,"Assigned Spaces, Common Parking Area, Covered Parking","Breakfast Bar, Dining Area in Living Room","Tile, Wood",Central Forced Air,Heat Pump,Public Utilities,1.0,"Insurance (Common Area), Insurance (Liability), Maintenance (Common Area), Management Fee, Roof",Monthly,Gayle Manor Owners Assoc,8,8,9,2.5,1244.0,1381946.0,10616.0,83,Very bikeable,90,Walker's paradise,48,Some transit,Minimal,Minimal,Moderate,Minimal,"Places8 groceries, 29 restaurants, 1 parkTransit21, 22, 40, 52, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, L1, L2, L3, L6, Rapid 522, School 288, School 288L, School 288M","Aug 10, 2023",Listed (Active)MLSListings #ML81937901,1398000.0,"Oct 23, 2018",Pending (Pending (Do Not Show))MLSListings #ML81727875,NA,"Oct 16, 2018",Listed (Active)MLSListings #ML81727875,1405000.0,https://www.redfin.com/CA/Los-Altos/889-N-San-Antonio-Rd-94022/unit-2010/home/147046042,2.0,"Double Sinks, Primary (Stall Shower(s)), Shower Over Tub","Inside, Washer/Dryer",,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,22580 Ravensbury Ave,Los Altos Hills,CA,94024,3998000,3,2.0,LOS ALTOS HILLS,2443,76709.0,1970,58,1637,,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Los-Altos-Hills/22580-Ravensbury-Ave-94024/home/1128525,MLSListings,ML81932246,N,Y,37.3386604,-122.1096839,"Attached Garage, Gate/Door Opener, Off-Street Parking, Parking Area, Room for Oversized Vehicle, Uncovered Parking","Breakfast Bar, Dining Area, Dining Area in Family Room, Eat in Kitchen, Formal Dining Room, Skylight(s)","Hardwood, Laminate, Marble, Stone, Tile, Travertine",Central Forced Air,"Central Forced Air, Central Forced Air (Gas), Forced Air, Gas, Solar","Public Utilities, Solar Panels - Owned",,,,,9,10,8,2.5,1637.0,3969937.0,28268.0,6,Somewhat bikeable,0,Car-dependent,,,Minimal,Moderate,Moderate,Minimal,"Places4 groceries, 11 restaurants, 13 parksTransit22, 40, 51, 51H, 52, Rapid 522","Aug 3, 2023",Listed (Active)MLSListings #ML81932246,3998000.0,"Aug 5, 2021",Pending (Pending (Do Not Show))MLSListings #ML81854798,NA,"Aug 4, 2021",Relisted (Active)MLSListings #ML81854798,NA,https://www.redfin.com/CA/Los-Altos-Hills/22580-Ravensbury-Ave-94024/home/1128525,2.0,"Double Sinks, Primary - Oversized Tub, Primary (Tub w/ Jets), Shower and Tub, Stall Shower, Stone, Tile, Tub in Master Bedroom, Updated Bath(s), Other (See Remarks)","Electricity Hookup (110V), Electricity Hookup (220V), Hookup (Gas Dryer), In Utility Room, Inside, Tub/Sink, Washer/Dryer","Jul 29, 2021",Pending (Pending (Do Not Show))MLSListings #ML81854798,NA,"Jul 22, 2021",Listed (Active)MLSListings #ML81854798,3498000.0,,,,,,,,,,,,
MLS Listing,,Single Family Residential,929 Loraine Ave,Los Altos,CA,94024,3498000,4,3.5,LOS ALTOS,2864,4426.0,2022,101,1221,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Altos/929-Loraine-Ave-94024/home/176496943,MLSListings,ML81932689,N,Y,37.3551374,-122.0888965,Attached Garage,Dining Area,"Hardwood, Stone","Central Forced Air, Multi-Zone",Central Forced Air,Public Utilities,2.0,,,,9,10,8,2.5,1221.0,3480788.0,24733.0,75,Very bikeable,63,Somewhat walkable,17,Minimal transit,Minimal,Major,Moderate,Minimal,"Places5 groceries, 11 restaurants, 7 parksTransit22, 40, 51, 51H, 52, 53, Rapid 522","Aug 21, 2023",Relisted (Active)MLSListings #ML81932689,NA,"Aug 7, 2023",ContingentMLSListings #ML81932689,NA,"Jul 14, 2023",Price ChangedMLSListings #ML81932689,3498000.0,https://www.redfin.com/CA/Los-Altos/929-Loraine-Ave-94024/home/176496943,1.0,,,"Jun 21, 2023",Listed (Active)MLSListings #ML81932689,3980000.0,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,540 Valley View Dr,Los Altos,CA,94024,8880000,6,6.0,LOS ALTOS,5158,14374.0,2023,109,1722,,Active,,,https://www.redfin.com/CA/Los-Altos/540-Valley-View-Dr-94024/home/1443416,MLSListings,ML81931667,N,Y,37.3617709,-122.1014754,"Attached Garage, Detached",Formal Dining Room,"Hardwood, Tile",Central Forced Air,Forced Air,Public Utilities,,,,,9,10,9,2.5,1722.0,8472281.0,62787.0,58,Bikeable,39,Car-dependent,,,Minimal,Minimal,Moderate,Minimal,"Places4 groceries, 13 restaurants, 4 parksTransit22, 40, 51, 51H, 52, Rapid 522","Jun 13, 2023",Listed (Active)MLSListings #ML81931667,8880000.0,"Sep 21, 2018",Listing RemovedSDMLS #301844106,NA,"Jul 10, 2018",,NA,https://www.redfin.com/CA/Los-Altos/540-Valley-View-Dr-94024/home/1443416,3.0,,"Electricity Hookup (220V), Hookup (Gas Dryer)",,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,4335 Miranda Ave,Palo Alto,CA,94306,3295000,4,2.0,PALO ALTO,1947,14464.0,1962,114,1692,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/4335-Miranda-Ave-94306/home/1602802,MLSListings,ML81927906,N,Y,37.3915159,-122.1280752,"Attached Garage, Off-Street Parking, On Street, Parking Area","Breakfast Room, Eat in Kitchen, Formal Dining Room","Hardwood, Laminate, Tile, Vinyl/Linoleum",Other (See Remarks),"Central Forced Air (Gas), Fireplace, Solar","Public Utilities, Solar Panels - Owned",1.0,,,,8,8,9,2.5,1692.0,3377084.0,23298.0,46,Somewhat bikeable,12,Car-dependent,22,Minimal transit,Severe,Minor,Moderate,Minimal,"Places3 groceries, 27 restaurants, 6 parksTransit21, 22, 40, 89, C - AM, C - PM, C - PM Concert, D - AM, D - PM, Express 101, Express 102, Express 103, Express 104, Rapid 522, School 288, School 288L, School 288M","Sep 28, 2023",Price ChangedMLSListings #ML81927906,3295000.0,"Sep 5, 2023",Relisted (Active)MLSListings #ML81927906,NA,"Aug 14, 2023",Listing RemovedMLSListings #ML81927906,NA,https://www.redfin.com/CA/Palo-Alto/4335-Miranda-Ave-94306/home/1602802,2.0,"Double Sinks, Dual Flush Toilet, Full on Ground Floor, Outside Access, Shower and Tub, Stall Shower, Tile, Tub","Electricity Hookup (220V), Hookup (Gas Dryer), In Utility Room, Inside, Tub/Sink, Washer/Dryer","Jul 12, 2023",Price ChangedMLSListings #ML81927906,3295000.0,"May 17, 2023",Listed (Active)MLSListings #ML81927906,3395000.0,,,,,,,,,,,,
MLS Listing,,Single Family Residential,848 Nash Rd,Los Altos,CA,94024,6488000,5,4.5,LOS ALTOS,3907,18972.0,2004,171,1661,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Los-Altos/848-Nash-Rd-94024/home/777450,MLSListings,ML81924358,N,Y,37.3669205,-122.110527,"Detached, Electric Car Hookup, Electric Gate, Gate/Door Opener, Tandem Parking, Uncovered Parking","Breakfast Bar, Dining Area, Dining Area in Family Room, Dining Bar, Eat in Kitchen","Carpet, Hardwood, Tile","Ceiling Fan, Central Forced Air, Multi-Zone","Central Forced Air (Gas), Fireplace, Heating (2+ Zones)","Individual Electric Meters, Individual Gas Meters, Public Utilities, Solar Panels - Owned",1.0,,,,9,10,9,2.5,1661.0,,45874.0,51,Bikeable,25,Car-dependent,29,Some transit,Minimal,Minor,Moderate,Minimal,"Places1 grocery, 22 restaurants, 6 parksTransit21, 22, 40, 51, 51H, 52, C - AM, C - PM, C - PM Concert, D - AM, D - PM, Rapid 522","Sep 27, 2023",Price ChangedMLSListings #ML81924358,6488000.0,"Jul 26, 2023",Price ChangedMLSListings #ML81924358,6738000.0,"Apr 12, 2023",Listed (Active)MLSListings #ML81924358,6988000.0,https://www.redfin.com/CA/Los-Altos/848-Nash-Rd-94024/home/777450,2.0,"Double Sinks, Full on Ground Floor, Half on Ground Floor, Jack & Jill, Primary (Stall Shower(s)), Skylight, 2+ Stall Shower, Steam Shower, Tile, Tub","Dryer, Electricity Hookup (110V), Inside, Tub/Sink, Washer","Jul 24, 2015",Pending (Pending (Do Not Show))MLSListings #ML81452351,NA,"Jul 23, 2015",Relisted (Active)MLSListings #ML81452351,NA,"Jul 23, 2015",Pending (Pending (Do Not Show))MLSListings #ML81452351,NA,"Jul 9, 2015",Price ChangedMLSListings #ML81452351,3495000.0,"Apr 17, 2015",Price ChangedMLSListings #ML81452351,3900000.0,"Feb 25, 2015",Listed (Active)MLSListings #ML81452351,4800000.0
