SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DESCRIPTION,DINNING_DESC,HEATING_FEATURES,UTILITIES,NUM_STORIES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,url,HAS_GARAGE,LAUNDARY_FEATURES,FLOORING_FEATURES,COOLING_FEATURES,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,BATH_DESCRIPTION,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE,PRICE_HISTORY11_EVENT_DATE,PRICE_HISTORY11_EVENT_TYPE,PRICE_HISTORY11_PRICE,PRICE_HISTORY12_EVENT_DATE,PRICE_HISTORY12_EVENT_TYPE,PRICE_HISTORY12_PRICE
MLS Listing,,Townhouse,5 Alverno Ct,Redwood City,CA,94061,2990000,3.0,3.5,REDWOOD CITY,2800.0,4910.0,1983.0,10,1068.0,950.0,Active,,,https://www.redfin.com/CA/Redwood-City/5-Alverno-Ct-94061/home/1316361,MLSListings,ML81942649,N,Y,37.4524969,-122.2603467,Attached Garage,"Eat in Kitchen, Formal Dining Room",Central Forced Air (Gas),Public Utilities,1.0,NA,NA,6,2.5,1068.0,3034786.0,22091.0,27,Somewhat bikeable,13,Car-dependent,Minimal,Major,Minor,Minimal,"Places5 groceries, 20 restaurants, 7 parksTransit275, 278, 295, 61, 72, 73, 79, 85, 87","Sep 20, 2023",Listed (Active)MLSListings #ML81942649,2990000.0,https://www.redfin.com/CA/Redwood-City/5-Alverno-Ct-94061/home/1316361,2.0,"Electricity Hookup (220V), Inside, Washer/Dryer","Carpet, Stone",Central Forced Air,"Oct 13, 2014",ContingentMLSListings #ML81423845,NA,"Jul 4, 2014",Listed (Active)MLSListings #ML81423845,2495000.0,,"Common Area Electricity, Exterior Painting, Fencing, Landscaping/Gardening, Maintenance (Common Area), Maintenance (Exterior), Management Fee, Reserves",Monthly,Alverno Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Vacant Land,700 Palomar,Redwood City,CA,94062,1750000,,,REDWOOD CITY,,33846.0,,10,,,Active,,,https://www.redfin.com/CA/Redwood-City/700-Palomar-Dr-94062/home/178956732,MLSListings,ML81926064,N,Y,37.480301,-122.2694836,,,,Available (Not On Site),,NA,NA,6,2.5,,1732984.0,12374.0,5,Somewhat bikeable,5,Car-dependent,NA,NA,NA,NA,"Places3 groceries, 19 restaurants, 15 parksTransit260, 275, 278, 295, 397, 398, 61, 73, 95, Bus Bridge, ECR, L1, L2, L4, L6","Sep 20, 2023",Listed (Active)MLSListings #ML81926064,1750000.0,https://www.redfin.com/CA/Redwood-City/700-Palomar-Dr-94062/home/178956732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,825 Seminole Way,Redwood City,CA,94062,2198000,3.0,2.0,REDWOOD CITY,2210.0,7139.0,1968.0,10,995.0,,Active,,,https://www.redfin.com/CA/Redwood-City/825-Seminole-Way-94062/home/1892351,MLSListings,ML81942569,N,Y,37.4619887,-122.2578917,"Attached Garage, Gate/Door Opener","Breakfast Bar, Eat in Kitchen, Formal Dining Room",Central Forced Air (Gas),Public Utilities,1.0,NA,NA,6,2.5,995.0,2217024.0,15541.0,29,Somewhat bikeable,29,Car-dependent,Minimal,Major,Minor,Minimal,"Places3 groceries, 15 restaurants, 14 parksTransit275, 278, 295, 397, 398, 61, 72, 73, 79, 87, 95, ECR","Sep 20, 2023",Listed (Active)MLSListings #ML81942569,2198000.0,https://www.redfin.com/CA/Redwood-City/825-Seminole-Way-94062/home/1892351,2.0,"Dryer, In Garage, Tub/Sink, Washer","Carpet, Hardwood, Tile, Vinyl/Linoleum",,,,,,,,"Double Sinks, Primary (Stall Shower(s)), Shower Over Tub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,167 Bonita Ave,Redwood City,CA,94061,1998000,3.0,2.0,REDWOOD CITY,2289.0,7500.0,1951.0,12,873.0,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Redwood-City/167-Bonita-Ave-94061/home/2052429,MLSListings,ML81940833,N,Y,37.4671102,-122.2203389,"Detached, On Street",Dining Area,Central Forced Air,Public Utilities,1.0,3,NA,6,2.5,873.0,2008925.0,14127.0,75,Very bikeable,78,Very walkable,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 25 restaurants, 2 parksTransit270, 275, 278, 295, 296, 397, 398, 72, 79, 87, 95, B7, Bus Bridge, ECR, L1, L2, L3, L4, L5, L6, MPT Shuttle, SEA Shuttle","Sep 18, 2023",Listed (Active)MLSListings #ML81940833,1998000.0,https://www.redfin.com/CA/Redwood-City/167-Bonita-Ave-94061/home/2052429,2.0,Washer/Dryer,"Carpet, Hardwood, Tile",Ceiling Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1465 Bonnie Ct,Redwood City,CA,94061,2095000,3.0,2.0,REDWOOD CITY,1459.0,6000.0,1957.0,14,1436.0,,Active,October-1-2023 12:30 PM,October-1-2023 03:30 PM,https://www.redfin.com/CA/Redwood-City/1465-Bonnie-Ct-94061/home/1416929,MLSListings,ML81942188,N,Y,37.4636075,-122.2340796,"Attached Garage, Electric Car Hookup, Gate/Door Opener","Dining Area, Dining Area in Living Room, Dining Bar, Eat in Kitchen",Central Forced Air (Gas),Public Utilities,1.0,3,NA,6,2.5,1436.0,2103498.0,14813.0,56,Bikeable,50,Somewhat walkable,Minimal,Minimal,Moderate,Minimal,"Places4 groceries, 25 restaurants, 6 parksTransit270, 275, 278, 295, 296, 397, 398, 72, 79, 87, 95, B7, Bus Bridge, ECR, L1, L2, L3, L4, L5, L6, MPT Shuttle, SEA Shuttle","Sep 16, 2023",Listed (Active)MLSListings #ML81942188,2095000.0,https://www.redfin.com/CA/Redwood-City/1465-Bonnie-Ct-94061/home/1416929,2.0,"Electricity Hookup (110V), In Utility Room, Inside, Tub/Sink","Hardwood, Vinyl/Linoleum, Wood",,,,,,,,"Dual Flush Toilet, Full on Ground Floor, Primary (Stall Shower(s)), Updated Bath(s)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Multi-Family (2-4 Unit),1115 Ruby St,Redwood City,CA,94061,1750000,4.0,2.0,REDWOOD CITY,2510.0,6250.0,1958.0,15,697.0,,Active,,,https://www.redfin.com/CA/Redwood-City/1115-Ruby-St-94061/home/2052414,MLSListings,ML81942102,N,Y,37.467702,-122.2391636,"Attached Garage, Parking Area",,Wall Furnace,Public Utilities,1.0,NA,NA,6,2.5,697.0,,12374.0,65,Bikeable,78,Very walkable,Major,Minimal,Moderate,Minimal,"Places5 groceries, 20 restaurants, 8 parksTransit270, 275, 278, 295, 296, 397, 398, 72, 73, 79, 87, 95, B7, Bus Bridge, ECR, L1, L2, L3, L4, L5, L6, MPT Shuttle, SEA Shuttle","Sep 15, 2023",Listed (Active)MLSListings #ML81942102,1750000.0,https://www.redfin.com/CA/Redwood-City/1115-Ruby-St-94061/home/2052414,2.0,Washer/Dryer (Some Units),"Carpet, Vinyl/Linoleum",,"Aug 1, 2005","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #40082199",NA,"May 20, 2005","ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #40082199",850000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1835 Cordilleras Rd,Redwood City,CA,94062,1998000,3.0,2.0,REDWOOD CITY,2050.0,22386.0,1948.0,15,975.0,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Emerald-Hills/1835-Cordilleras-Rd-94062/home/2041125,MLSListings,ML81942059,N,Y,37.4729665,-122.2656826,Attached Garage,"Dining Area in Living Room, Eat in Kitchen","Forced Air, Gas, Heating (2+ Zones)",Public Utilities,1.0,NA,NA,6,2.5,975.0,2050593.0,14127.0,16,Somewhat bikeable,28,Car-dependent,Minimal,Moderate,Minor,Minimal,"Places3 groceries, 16 restaurants, 18 parksTransit275, 278, 295, 397, 398, 61, 73, 79, 95, ECR","Sep 15, 2023",Listed (Active)MLSListings #ML81942059,1998000.0,https://www.redfin.com/CA/Emerald-Hills/1835-Cordilleras-Rd-94062/home/2041125,2.0,"Hookup (Gas Dryer), Inside","Hardwood, Tile, Vinyl/Linoleum",,"Jan 16, 2020",Pending (Pending (Do Not Show))MLSListings #ML81772079,NA,"Oct 11, 2019",Listed (Active)MLSListings #ML81772079,1829000.0,"Primary (Stall Shower(s)), Tile, Tub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Multi-Family (2-4 Unit),2790 Marlborough Ave,Redwood City,CA,94063,1850000,6.0,4.0,REDWOOD CITY,3478.0,5250.0,1962.0,15,532.0,,Active,,,https://www.redfin.com/CA/Redwood-City/2790-Marlborough-Ave-94063/home/1694734,MLSListings,ML81942045,N,Y,37.471914,-122.2132241,"Attached Garage, Tandem Parking",,Wall Furnace,"Individual Electric Meters, Individual Gas Meters, Public Utilities",2.0,NA,NA,6,3.0,532.0,1840767.0,13081.0,78,Very bikeable,84,Very walkable,Minimal,Minimal,Moderate,Minimal,"Places5 groceries, 30 restaurants, 1 parkTransit270, 275, 278, 296, 397, 72, 79, 84, ECR, MPT Shuttle, SEA Shuttle","Sep 15, 2023",Listed (Active)MLSListings #ML81942045,1850000.0,https://www.redfin.com/CA/Redwood-City/2790-Marlborough-Ave-94063/home/1694734,2.0,,,"Ceiling Fan, Other (See Remarks)","Dec 10, 2013",ListedSDMLS #301780928,1050000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,600 Baltic Cir #632,Redwood City,CA,94065,799000,1.0,1.5,Redwood City,927.0,242714.0,1997.0,15,862.0,622.0,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Redwood-City/600-Baltic-Cir-94065/unit-632/home/1603820,San Francisco MLS,423909464,N,Y,37.538472,-122.2418412,,,Central,,,7,9,9,,862.0,797835.0,6271.0,72,Very bikeable,12,Car-dependent,Extreme,Minor,Minor,Minimal,"Places5 groceries, 19 restaurants, 16 parksTransit251, 256, 260, 54, 57, 60, 62, 67, 68, FCX, RLC Shuttle","Sep 15, 2023",Listed (Active)San Francisco MLS #423909464,799000.0,https://www.redfin.com/CA/Redwood-City/600-Baltic-Cir-94065/unit-632/home/1603820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2211 Brewster Ave,Redwood City,CA,94062,2495000,3.0,2.5,REDWOOD CITY,1850.0,6500.0,1936.0,16,1349.0,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Redwood-City/2211-Brewster-Ave-94062/home/1026438,MLSListings,ML81941984,N,Y,37.4793349,-122.2454638,"Detached, Off-Street Parking","Dining Bar, Eat in Kitchen, Formal Dining Room",Central Forced Air,Public Utilities,2.0,NA,3,6,2.5,1349.0,2508002.0,17641.0,60,Bikeable,43,Car-dependent,Moderate,Minimal,Moderate,Minimal,"Places3 groceries, 16 restaurants, 7 parksTransit270, 275, 278, 295, 296, 397, 398, 73, 79, 95, B7, Bus Bridge, ECR, L1, L2, L3, L4, L5, L6, MPT Shuttle, SEA Shuttle","Sep 14, 2023",Listed (Active)MLSListings #ML81941984,2495000.0,https://www.redfin.com/CA/Redwood-City/2211-Brewster-Ave-94062/home/1026438,2.0,"Dryer, In Utility Room, Inside, Washer",Hardwood,Central Forced Air,,,,,,,"Double Sinks, Primary (Stall Shower(s)), Shower and Tub, 2+ Stall Shower, 2+ Tubs, Updated Bath(s)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
